date,pengbenkang,yangjianchao,pengyinlun,juxin,hello,shenjunzhong,fengjing,wangjianan,chendong,hejun,yangrenyu,xuezeyu,kangyuhan,lzd,yangjingkui,tangminjin,guohui,mashaocong
2025-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-06,417.63,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-07,346.52,907.95,422.52,212.5,132.5,422.67,241.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-14,72.63,612.77,204.07,410.27,243.5,112.63,807.52,692.23,50.42,230.33,223.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15,37.15,471.1,299.92,69.35,143.12,0.0,31.93,459.73,7.97,0.0,462.53,32.9,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,37.3,567.73,466.73,907.92,59.87,3.37,0.0,463.62,24.12,0.23,239.45,0.0,91.57,0.0,0.0,0.0,0.0,0.0
2025-04-17,0.0,116.53,0.0,270.65,0.0,127.02,0.0,0.0,5.32,0.0,671.93,438.45,133.67,0.0,0.0,0.0,0.0,0.0
2025-04-18,247.95,44.17,0.0,557.52,0.0,156.47,0.0,0.0,0.0,0.0,0.0,1084.15,295.35,0.0,0.0,0.0,0.0,0.0
2025-04-19,423.37,1172.27,0.0,474.82,0.0,190.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-20,564.45,56.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.93,20.67,0.0,0.0,0.0,0.0,0.0
2025-04-21,392.98,323.95,0.0,698.85,212.53,267.8,0.0,0.0,0.0,0.0,379.83,932.13,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-22,151.67,451.2,110.25,357.58,326.48,164.32,0.0,0.0,0.0,0.0,346.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
